"Title";"Winner";"NumberOfSolutions";"Cost";"PostTime";"SolutionTime";"Tags"
"Bountify | Events Feed: Valid Feed does not display events";"Lucioric2000";"1 Solution";"$25";"Posted almost 3 years ago";"almost 3 years ago";""
"Bountify | JS ""for"" function too fast to load images";"quillford";"2 Solutions";"$5";"Posted almost 3 years ago";"almost 3 years ago";"javascript jQuery "
"Bountify | write a genetic algorithm";"";"0 Solutions";"$1";"Posted almost 3 years ago";"";"javascript algorithm "
"Bountify | Calculable Date Field in FabricJS";"jduplessis294";"2 Solutions";"$10";"Posted almost 3 years ago";"almost 3 years ago";"javascript jQuery "
"Bountify | Image Not Movable on Canvas After Loaded from JSON";"kostasx";"1 Solution";"$10";"Posted almost 3 years ago";"almost 3 years ago";"javascript jQuery "
"Bountify | MongoDB aggregate pipeline to find min and max for unique reporting station id";"Wuddrum";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"mongodb "
"Bountify | CSS problem on my site";"";"0 Solutions";"$5";"Posted over 2 years ago";"";"css jQuery "
"Bountify | Increasing the size of the downloaded canvases as images";"";"0 Solutions";"$1";"Posted over 2 years ago";"";""
"Bountify | Printing, Saving (as PDF) 2 Canvases Simultaneously";"kostasx";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript css html jQuery "
"Bountify | Need to build an array of distinct values from MongoDB datbase";"gabrielsimoes";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | js lib to detect if GA/GTM is blocked";"kostasx";"2 Solutions";"$50";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Fix the CSS of this context menu.";"Chlegou";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | Need large .csv column split and loaded into a serverless DB";"alixaxel";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"aws database graphql serverless data-mining "
"Bountify | Need PHP converted to Python3";"CyteBode";"1 Solution";"$5";"Posted almost 3 years ago";"over 2 years ago";"PHP python python3 "
"Bountify | Fetch and display image from a MySQL database in div id";"SilverHood Apps";"1 Solution";"$5";"Posted almost 3 years ago";"almost 3 years ago";"javascript PHP MySQL "
"Bountify | Scrape Crunchbase for Acquisitions section";"Wuddrum";"3 Solutions";"$50";"Posted almost 3 years ago";"over 2 years ago";""
"Bountify | Scrape BuiltWith Mobile endpoint for technologies from the command line";"Wuddrum";"5 Solutions";"$25";"Posted almost 3 years ago";"over 2 years ago";""
"Bountify | Python OpenCV script to get corresponding real world coordinate from pixel (working C++ example included)";"CyteBode";"1 Solution";"$10";"Posted almost 3 years ago";"almost 3 years ago";"python opencv "
"Bountify | Pulling in a DIV from another website";"kostasx";"1 Solution";"$1";"Posted almost 3 years ago";"almost 3 years ago";"javascript html "
"Bountify | Xpath query to get Tweet text";"alixaxel";"3 Solutions";"$10";"Posted almost 3 years ago";"almost 3 years ago";"html xpath "
"Bountify | Fading repeating area charts with D3.js -- RUSH!!";"jduplessis294";"1 Solution";"$25";"Posted almost 3 years ago";"almost 3 years ago";"d3js react-js react-native "
"Bountify | Posting Canvas to Imgur";"enderdba";"3 Solutions";"$10";"Posted almost 3 years ago";"almost 3 years ago";"javascript html jQuery "
"Bountify | [C/C++] Encoding/decoding ALAC using Apple's codec (find problem in existing code)";"jduplessis294";"1 Solution";"$25";"Posted almost 3 years ago";"almost 3 years ago";"c++ c audio alac codec "
"Bountify | URGENT: Help needed getting large GeoJSON file to render using Mapbox ";"dekkard";"1 Solution";"$50";"Posted almost 3 years ago";"almost 3 years ago";"geojson mapbox "
"Bountify | Implement a CSS Mega Menu on a Bootstrap 3 website";"mashtullah";"1 Solution";"$5";"Posted almost 3 years ago";"almost 3 years ago";"html5 html css3 css javascript "
"Bountify | Print 2 sides of canvas (as the 4 x 2) instead of just the front and back of the editable canvas";"enderdba";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript canvas fabricjs "
"Bountify | I need help with code that can receive TCP data into a PHP file";"SilverHood Apps";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"tcpdump websockets socket-io http PHP json "
"Bountify | Video Background with Vimeo Pro ";"Chlegou";"2 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript css "
"Bountify | .htaccess removing unwanted sub-folders from RHS";"Wuddrum";"2 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | A stacked bipartite graph visualization and traversal UX";"Chlegou";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Can't get AppleScript to toggle mouse scrolling on Mac";"CyteBode";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"applescript mac "
"Bountify | How to add a directory inside a package?";"";"0 Solutions";"$5";"Posted over 2 years ago";"";"android android-studio gradle "
"Bountify | SQL Server Combine All Tables";"SilverHood Apps";"3 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";"sql-server "
"Bountify | Opening Link in New Tab with JS";"Wuddrum";"3 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Trouble With Toggle Button with 2 Icons Using Font Awesome";"enderdba";"1 Solution";"$1";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Setting FabricJS Canvas Dimensions with Buttons";"quillford";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";""
"Bountify | JSFiddle-Like Functionality with Basic FabricJS Canvas";"kostasx";"1 Solution";"$25";"Posted over 2 years ago";"over 2 years ago";"javascript fabricjs "
"Bountify | Add reorder select list lib";"Wuddrum";"7 Solutions";"$50";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery "
"Bountify | Share a Var to Social Media Sites and/or Get a Link";"Wuddrum";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript "
"Bountify | Trying to duplicate simple button component in react.js with different text/URL";"kostasx";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"gatsby props components static-site-generator react-js javascript "
"Bountify | Convert jQuery to plain Javascript";"Chlegou";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript jQuery convert "
"Bountify | Toggle-able Views with 2 Canvases that Push to Static Canvases";"Wuddrum";"2 Solutions";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript fabricjs "
"Bountify | (React.js) Google Places Autocomplete & Semantic UI React";"Wuddrum";"2 Solutions";"$50";"Posted over 2 years ago";"over 2 years ago";"javascript google-api react-js semantic-ui "
"Bountify | Reduce record count  in MySQL temp  sensor table ";"SilverHood Apps";"4 Solutions";"$25";"Posted over 2 years ago";"over 2 years ago";"MySQL python3 "
"Bountify | Displaying Current Font While Loading Custom Fonts";"quillford";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"javascript fabricjs fonts "
"Bountify | Minor CSS / Bootstrap 4 / HTML modifications for mobile html site";"kostasx";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"twitter-bootstrap frontend html css3 css adobe-photoshop adobe-xd bootstrap-4 "
"Bountify | Clone Apple.com Mobile Menu and enhance it";"MarkGrok";"1 Solution";"$10";"Posted over 2 years ago";"over 2 years ago";"javascript css "
"Bountify | Date  and Time String Scan ";"kostasx";"1 Solution";"$5";"Posted over 2 years ago";"over 2 years ago";"regex python3 "
"Bountify | Date/time scaning with Python regular expressions";"kostasx";"3 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"regex python3 "
"Bountify | CSS Best practices - Need advice";"Stefano Balzarotti";"2 Solutions";"$5";"Posted over 2 years ago";"over 2 years ago";"css "
